frame_nos,diameters
16,2.4055762974411947
135,2.3388164766751625
39,2.4953478320971647
224,2.8541882782489485
30,2.757612284660072
172,2.784026316594742
106,1.3940221420357335
41,2.5095250931141897
17,2.3190316481935427
38,2.744718670057774
1,2.4767571039438336
198,2.3443924617634235
103,1.8860196485357767
201,2.860426309112667
45,1.2610897989988796
157,2.5043059549326476
14,1.9165477490965235
154,2.553811709204443
155,2.8347799452406517
141,2.204712884193017
212,2.3532836607419942
200,2.3034730733881763
217,2.669327840206378
168,2.7538206139479757
77,1.9167207067923573
166,2.9615959116107624
132,3.0229866555731406
75,2.1129890061535925
110,2.715221414412715
163,1.9267380432348946
206,2.4621947150573944
123,3.034584676774427
23,2.0996630301902237
46,1.58847303408725
134,3.0293541380568496
221,2.054412067728118
9,2.989869315077929
227,2.3281521872057156
87,2.5372810305208096
153,1.9497823699588221
53,1.5366834238194036
,2.7329964946429794
174,2.5171228712183615
80,2.2140353463871265
181,2.6684691064736756
111,2.640035088705821
189,2.7528071560383727
108,2.943782156848098
4,2.4741694166949393
142,2.3104680753544424
145,2.3888645625434948
210,2.4042534735157433
42,2.3986720541310773
162,2.9244678341291475
22,2.4357591083979346
26,2.530932755384311
100,1.8610694595900124
11,1.9220851729062685
54,1.1777322794966691
109,2.603099855115494
12,2.6164642901924977
92,1.8360797043315
79,2.6293025343518504
35,2.301741684783297
223,2.7571348125449053
121,3.024937694461015
96,2.90973040670652
152,2.5330241334038432
180,2.6759520394105016
24,2.1311905698743767
128,3.0420378032475166
185,2.2328209114847994
170,3.240040139328705
81,2.7283083394534917
116,2.692420312347441
8,2.4325248914095234
112,3.08157171722234
70,1.8626659299412531
31,2.9654128364490364
59,1.4121998788998118
37,2.6669135297787006
139,2.3823743067180003
20,2.503297194391384
190,3.206017169167119
114,2.5312715084287487
159,2.502634600270619
68,2.1912003332804884
151,2.0741648469322524
47,2.250092682704278
78,1.9684443972818877
67,1.6626472107187844
126,2.5745153228200164
164,3.0984202855514416
102,1.8910167885807136
183,2.9726178017508667
84,2.013774819990299
58,1.1272210885826102
90,2.346236027155475
48,1.7543252713542197
179,3.2213722667406617
33,3.064886767355388
29,2.9114758173554622
40,2.5017975082153643
91,2.5685022656355767
149,2.181618391196157
89,1.8168440272652941
2,2.5120883185751137
222,2.4139038550084497
118,2.3108046286068418
130,2.5344356650737327
74,2.226826851420237
88,2.8587077150248086
199,2.5763758923990596
13,2.499657423407427
32,2.5028992674341706
127,2.812930059057781
203,2.243449774138448
107,2.0740316195156017
178,2.4955986757947204
76,1.9963723873129502
95,2.0957648477160498
219,2.5780638862221408
188,2.819685221398728
161,2.2627370727043767
50,2.4139905566825015
214,2.853680439500088
36,2.7479368271710443
27,1.860306194619588
6,2.333401901490849
60,1.5876249141448713
167,3.1496114351382336
62,1.4482115963862903
187,2.32474484526974
146,2.7020594233815687
129,2.403284654799094
15,2.0823229116655972
61,1.6140586680051205
63,1.818445926715742
66,1.6272017867918724
158,2.731519228207333
65,1.7493989736798432
86,1.796609235121978
71,1.6717904740237097
196,2.096555684018407
10,2.0236998560400017
220,2.5978376506258134
215,2.6290694658105545
69,1.96571216345412
82,2.3078420135383095
171,3.1549797575276313
28,2.2798768395897606
225,2.291163275520526
125,2.729796206786545
165,2.1972994885571357
216,2.660931784045522
93,2.234842947301281
193,2.677134501938242
213,2.426134116064189
176,2.630328330033206
94,1.9505867349335317
21,2.235234890714444
147,2.2150302606968792
186,2.7024951759114058
5,2.2078110967291003
97,2.515787835770508
104,1.5692489518552648
195,1.889745895591353
57,1.3207839379799018
3,2.522008726886415
207,2.237283622738555
173,2.2973827123883326
55,2.0891024726054916
115,2.9860544674453124
143,2.4567000871271882
18,2.0543376809207783
160,2.688151469278575
72,2.272177671509836
25,2.219727767612276
191,2.553543444718797
184,2.3789872875140623
137,2.7348271834621696
204,2.175254315540099
131,3.2864474888430286
138,2.6518350812490827
52,1.6470432342015537
208,2.1115632317213158
105,1.7782223907641206
156,2.0761925827980146
211,2.6501306872841544
34,2.8698994178667916
44,1.3752910463059256
218,2.423259947717416
113,2.8210016141000263
117,2.577129295268852
192,1.755447979740918
98,2.697555898577558
119,2.5064313844064015
64,1.2953747220829976
101,2.564856108003927
43,1.6368111066694078
124,2.782773225517596
83,1.472371678440655
120,2.7484846961212717
197,2.7567455662815683
51,1.7952814403215216
133,3.496789118372081
7,2.307303331734668
136,2.646622516961894
205,2.3574035492693217
194,2.0822879454309517
73,2.2248858466273265
85,2.5970549020512634
148,1.9717631558993767
169,3.026513738625247
177,3.321149540367639
56,2.504828597489452
175,2.9179146457984992
144,2.826320636514478
150,1.9496292180581114
19,2.2081053010783847
209,2.166745623130279
182,2.8832533831795257
49,1.8811036477484708
99,2.3147243236389285
226,2.422874136992134
122,2.862421507609501
140,2.179788808193005
202,2.252357147434299
