Step,CPU,TotEng,KinEng,PotEng,E_vdwl,E_coul,E_long,Temp,Press,Volume,Density
50000,184.21766,19215.8,18718.155,497.64515,-2823.5923,54735.478,-71927.265,363.42109,196.64206,231135.52,1.3317
51000,187.77819,19094.389,18701.992,392.39704,-2787.4704,54747.789,-71956.251,363.10728,-83.461924,230981.26,1.3325894
52000,191.61984,19103.982,18675.534,428.44765,-2786.3784,54828.146,-71936.406,362.59359,-16.424911,230500.15,1.3353709
53000,195.92157,19342.588,18901.921,440.6668,-2815.6924,54877.723,-71939.9,366.989,82.2285,231806.59,1.3278448
54000,199.54939,18676.235,18344.441,331.79414,-2808.5348,54738.093,-71915.13,356.16528,-94.393741,231127.27,1.3317476
55000,203.09249,19180.439,18576,604.43882,-2717.8872,54801.453,-71938.7,360.6611,-2.3994151,232512.98,1.3238107
56000,206.67809,18857.33,18485.524,371.80579,-2782.8691,54851.393,-71936.473,358.90446,-217.47463,230582.76,1.3348924
57000,210.34382,19184.481,18645.113,539.36838,-2862.6412,54793.444,-71908.546,362.00295,-7.9772881,229588.82,1.3406715
58000,214.30677,19402.71,18788.587,614.12254,-2725.0699,54767.856,-71920.513,364.78856,-165.73418,231931.69,1.3271286
59000,217.97428,19126.426,18784.81,341.61666,-2795.2306,54736.322,-71947.096,364.71522,65.610229,230896.82,1.3330767
60000,221.58756,19177.136,18627.768,549.36756,-2744.7248,54798.48,-71947.656,361.66619,58.931312,231486.92,1.3296785
61000,225.18944,19195.928,18601.75,594.17839,-2753.5502,54786.232,-71950.365,361.16104,-83.409265,231650,1.3287424
62000,228.75542,19360.209,18718.133,642.07555,-2779.7276,54860.256,-71924.19,363.42067,14.144852,230472.58,1.3355306
63000,232.75586,19247.236,18799.209,448.02661,-2802.041,54831.223,-71928.191,364.9948,-1.5644449,230337,1.3363167
64000,236.90472,18975.647,18469.922,505.72481,-2799.8695,54869.313,-71923.286,358.60155,-60.626291,230729.4,1.334044
65000,240.50242,19332.663,18854.203,478.45984,-2768.6022,54798.098,-71924.213,366.06253,-24.427179,231057.04,1.3321524
66000,244.04656,19249.923,18782.447,467.47629,-2799.5624,54836.454,-71926.622,364.66935,-4.6890634,231828.45,1.3277196
67000,247.61177,19172.932,18516.18,656.75232,-2790.2219,54799.698,-71918.622,359.49965,-75.169145,230700.73,1.3342098
68000,251.3251,19385.485,18693.391,692.0942,-2804.2173,54842.445,-71933.895,362.94029,-25.280944,230244.56,1.3368532
69000,255.25945,18969.181,18590.11,379.0705,-2834.9443,54791.009,-71926.593,360.93505,-278.91852,231084.21,1.3319957
70000,258.83508,18966.853,18610.165,356.6878,-2838.6491,54844.967,-71935.253,361.32443,-81.430972,230580.82,1.3349036
71000,262.4064,19254.213,18610.227,643.98626,-2777.0923,54885.303,-71938.384,361.32563,-38.450354,231816.82,1.3277862
72000,265.99167,19124.91,18707.348,417.5617,-2768.5281,54858.294,-71932.274,363.21128,101.25527,231048.62,1.3322009
73000,269.61038,19159.513,18705.136,454.37722,-2760.7135,54790.092,-71939.757,363.16833,36.197204,231565.19,1.3292291
74000,273.72777,19044.101,18531.11,512.99113,-2769.5872,54848.804,-71932.414,359.78954,-10.041542,230996.12,1.3325037
75000,277.71064,19056.551,18668.855,387.69637,-2837.9577,54861.928,-71923.719,362.46392,136.0492,230539.2,1.3351446
76000,281.2678,19486.112,18754.578,731.53413,-2780.9875,54906.421,-71922.563,364.12826,6.1532354,231883.5,1.3274044
